source,destination,airline,equipment,avg_capacity,visa,source_lat,source_lon,dest_lat,dest_lon
1,3,1308,DH8 DHT,10.0,0.0,-6.081689834590001,145.391998291,-5.826789855957031,144.29600524902344
1,4,1308,DH8,0.0,0.0,-6.081689834590001,145.391998291,-6.569803,146.725977
1,2,1308,DH8,0.0,0.0,-6.081689834590001,145.391998291,-5.20707988739,145.789001465
1,5,328,DH4 DH8 DH3,43.0,0.0,-6.081689834590001,145.391998291,-9.44338035583496,147.22000122070312
2,1,1308,DH8,0.0,0.0,-5.20707988739,145.789001465,-6.081689834590001,145.391998291
2,3,1308,DH8,0.0,0.0,-5.20707988739,145.789001465,-5.826789855957031,144.29600524902344
2,4,1308,DH8,0.0,0.0,-5.20707988739,145.789001465,-6.569803,146.725977
2,6,328,100 DH4,94.0,0.0,-5.20707988739,145.789001465,-3.58383011818,143.669006348
2,5430,328,100,109.0,0.0,-5.20707988739,145.789001465,-2.06189,147.423996
2,5,328,DH4 100,94.0,0.0,-5.20707988739,145.789001465,-9.44338035583496,147.22000122070312
2,5436,328,DH4,78.0,0.0,-5.20707988739,145.789001465,-2.6926,141.3028
3,1,1308,DH8 DHT,10.0,0.0,-5.826789855957031,144.29600524902344,-6.081689834590001,145.391998291
3,4,1308,DH8,0.0,0.0,-5.826789855957031,144.29600524902344,-6.569803,146.725977
3,2,1308,DH8,0.0,0.0,-5.826789855957031,144.29600524902344,-5.20707988739,145.789001465
3,5431,1308,DHT,19.0,0.0,-5.826789855957031,144.29600524902344,-6.36332988739,143.238006592
3,5,328,100,109.0,0.0,-5.826789855957031,144.29600524902344,-9.44338035583496,147.22000122070312
3,5434,1308,DH8,0.0,0.0,-5.826789855957031,144.29600524902344,-5.27861,141.225998
3,5433,1308,DH8,0.0,0.0,-5.826789855957031,144.29600524902344,-5.84499979019,142.947998047
3,6,328,100,109.0,0.0,-5.826789855957031,144.29600524902344,-3.58383011818,143.669006348
4,5421,1308,DH8,0.0,0.0,-6.569803,146.725977,-9.08675956726,143.207992554
4,1,1308,DH8,0.0,0.0,-6.569803,146.725977,-6.081689834590001,145.391998291
4,3,1308,DH8,0.0,0.0,-6.569803,146.725977,-5.826789855957031,144.29600524902344
4,5424,328,DH4,78.0,0.0,-6.569803,146.725977,-5.462170124053955,150.40499877929688
4,2,1308,DH8,0.0,0.0,-6.569803,146.725977,-5.20707988739,145.789001465
4,5430,1308,DH8,0.0,0.0,-6.569803,146.725977,-2.06189,147.423996
4,5423,1308,DH8,0.0,0.0,-6.569803,146.725977,-8.80453968048,148.309005737
4,5,328,100 DH4,94.0,0.0,-6.569803,146.725977,-9.44338035583496,147.22000122070312
4,5435,1308,DH8,0.0,0.0,-6.569803,146.725977,-4.34045982361,152.380004883
5,3320,5360,73H,0.0,1.0,-9.44338035583496,147.22000122070312,-27.384199142456055,153.11700439453125
5,5421,328,DH4 DH3,64.0,0.0,-9.44338035583496,147.22000122070312,-9.08675956726,143.207992554
5,1,328,DH4 DH8 DH3,43.0,0.0,-9.44338035583496,147.22000122070312,-6.081689834590001,145.391998291
5,5422,328,DH3 DH4 DH8,43.0,0.0,-9.44338035583496,147.22000122070312,-10.3114995956,150.333999634
5,3,328,100,109.0,0.0,-9.44338035583496,147.22000122070312,-5.826789855957031,144.29600524902344
5,5424,328,DH4,78.0,0.0,-9.44338035583496,147.22000122070312,-5.462170124053955,150.40499877929688
5,4,328,100 DH4,94.0,0.0,-9.44338035583496,147.22000122070312,-6.569803,146.725977
5,5431,1308,DH8,0.0,0.0,-9.44338035583496,147.22000122070312,-6.36332988739,143.238006592
5,5423,328,DH3 DH4 DH8,43.0,0.0,-9.44338035583496,147.22000122070312,-8.80453968048,148.309005737
5,5435,328,100 DH4,94.0,0.0,-9.44338035583496,147.22000122070312,-4.34045982361,152.380004883
5,5434,328,DH3,50.0,0.0,-9.44338035583496,147.22000122070312,-5.27861,141.225998
5,5433,328,DH8 DH3,25.0,0.0,-9.44338035583496,147.22000122070312,-5.84499979019,142.947998047
5,5425,328,DH8 DH3,25.0,0.0,-9.44338035583496,147.22000122070312,-6.1257100105285645,141.28199768066406
5,5419,328,100,109.0,0.0,-9.44338035583496,147.22000122070312,-5.4223198890686035,154.67300415039062
5,4206,328,738,189.0,0.0,-9.44338035583496,147.22000122070312,10.307499885559,123.97899627686
